id,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]","Эластичность при 0 °С, [%]"
0,31.60819911956787,76.65782237052917,20.98221778869629,66.97227755188942,75.22600609064102
1,32.790005683898926,77.55986194312572,33.155675649642944,69.26070860028267,76.58924695849419
2,33.00220489501953,77.96946078538895,25.289788007736206,71.46223491430283,74.87008437514305
3,32.45601272583008,76.46879705786705,30.87243413925171,70.29343605041504,74.5489649772644
4,32.23060989379883,76.52416720986366,30.579391717910767,73.4375963807106,74.25318935513496
5,32.63143253326416,74.3913389146328,26.6722629070282,73.07123076915741,74.0014135837555
6,32.65637493133545,74.73936079442501,29.264169692993164,73.87213444709778,74.54558482766151
7,32.13956260681152,74.73735018074512,21.172082781791687,70.13403111696243,74.89523628354073
8,32.740169525146484,77.49120332300663,30.668621063232422,69.12115621566772,75.672936886549
9,32.010788917541504,76.37065608799458,30.005661964416504,74.21989357471466,76.12387356162071
